marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
kia,sorento,2.2 Crdi Ex,2.2 L,0,27500,USD,2017,99000 km,1,0,MLA1428929582,https://auto.mercadolibre.com.ar/MLA-1428929582-kia-sorento-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,6171000,ARS,2012,132000 km,0,0,MLA1383741858,https://auto.mercadolibre.com.ar/MLA-1383741858-kia-sorento-ex-24l-4x2-2012-_JM
kia,sorento,2.2 Ex Premium 4x4 6at,2.2 L,0,10800,USD,2011,228000 km,0,0,MLA1426463284,https://auto.mercadolibre.com.ar/MLA-1426463284-kia-sorento-_JM
kia,sorento,2.2 Ex,2.2 L,0,33000,USD,2016,100000 km,1,0,MLA1420450044,https://auto.mercadolibre.com.ar/MLA-1420450044-kia-sorento-22-crdi-ex-4x4-_JM
kia,sorento,1.2 Ex 85cv 5mt,1248 cc,1,6000,USD,2014,161000 km,0,1,MLA1433789144,https://auto.mercadolibre.com.ar/MLA-1433789144-kia-picanto-2014-12-ex-85cv-5mt-_JM
kia,sorento,3.5 Ex At Executive,3.5 L,1,3750000,ARS,2005,195000 km,0,0,MLA1406826346,https://auto.mercadolibre.com.ar/MLA-1406826346-kia-sorento-2005-35-ex-at-executive-_JM
kia,sorento,2.4 Ex,2358 cc,1,12410000,ARS,2017,87570 km,0,1,MLA1408597506,https://auto.mercadolibre.com.ar/MLA-1408597506-sorento-ex-24-aut-full-_JM
kia,sorento,2.2 Ex At 4x4,2.2 L,1,44900,USD,2019,57000 km,1,0,MLA1434386800,https://auto.mercadolibre.com.ar/MLA-1434386800-kia-sorento-2019-22-ex-at-4x4-_JM
kia,sorento,1.6 Ex 132cv 6at,1591 cc,1,11900,USD,2014,82000 km,0,0,MLA1373674831,https://auto.mercadolibre.com.ar/MLA-1373674831-kia-soul-ex-16-at-2014-82000-kms-autopremium-_JM
kia,sorento,2.0 Ex 4wd 163cv 6at,2 L,1,19800,USD,2014,94000 km,1,0,MLA1428551104,https://auto.mercadolibre.com.ar/MLA-1428551104-kia-sportage-2014-20-ex-4wd-163cv-6at-_JM
kia,sorento,2.2 Crdi Ex,2199 cc,0,34900,USD,2017,114000 km,1,0,MLA1430846022,https://auto.mercadolibre.com.ar/MLA-1430846022-kia-sorento-2017-22-crdi-ex-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,19000,USD,2013,92000 km,0,0,MLA1321871303,https://auto.mercadolibre.com.ar/MLA-1321871303-kia-sorento-2013-24-ex-4x2-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,19000,USD,2013,92000 km,0,0,MLA1436477856,https://auto.mercadolibre.com.ar/MLA-1436477856-kia-sorento-2013-24-ex-4x2-6at-_JM
kia,sorento,3.5 Ex At,3.5 L,1,11800,USD,2007,174000 km,0,0,MLA1438653620,https://auto.mercadolibre.com.ar/MLA-1438653620-kia-sorento-2007-35-ex-at-_JM
kia,sorento,2.2 Crdi Ex,2.2 L,0,27800,USD,2017,69000 km,1,0,MLA1409389794,https://auto.mercadolibre.com.ar/MLA-1409389794-kia-sorento-ex-22-crdi-4x2-at-2017-_JM
kia,sorento,2.2 Crdi Ex,2199 cc,0,38000,USD,2017,75000 km,1,0,MLA1432170304,https://auto.mercadolibre.com.ar/MLA-1432170304-kia-sorento-ex-crdi-4wd-7-asientos-diesel-automatica-4x4-_JM
kia,sorento,2.2 Ex,2199 cc,0,31500,USD,2016,139000 km,1,0,MLA1372039487,https://auto.mercadolibre.com.ar/MLA-1372039487-kia-sorento-22-ex-_JM
kia,sorento,EX 2.2 A/T CRDI 4x4,2199 cc,0,26000,USD,2016,100000 km,1,0,MLA1422220840,https://auto.mercadolibre.com.ar/MLA-1422220840-kia-sorento-ex-22-at-crdi-4x4-_JM
kia,sorento,2.2 Crdi Ex,2.2 L,0,13500000,ARS,2017,235900 km,1,0,MLA1368209571,https://auto.mercadolibre.com.ar/MLA-1368209571-kia-sorento-ex-22-crdi-at-premiun-int-8622-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,16500,USD,2013,11111 km,0,0,MLA1416318768,https://auto.mercadolibre.com.ar/MLA-1416318768-kia-sorento-2013-24-ex-4x2-6at-_JM
